מילת_מפתח,ספירה,סוג,וариантים,וариантים_קשורים,קבוצת_מושג
ישראל,303,ביטוי,ישראל (161); בישראל (61); ישראלים (44); מדינת ישראל (19); לישראל (14); ובישראל (3); מישראל (1),אזרחי ישראל; ארץ ישראל; הישראלי ופוליטיקאים; הישראלי-פלסטיני; ופוליטיקאים ישראלים; ימין הישראלי; ישראל וגופים; ישראל ודוברי,
מלחמה,131,מונח_ידוע,מלחמה (45); המלחמה (35); מלחמות (17); במלחמה (8); למלחמה (8); כמלחמה (4); במלחמות (3); ממלחמות (2); ומלחמות (2); ממלחמה (2); ומלחמת (2); והמלחמות (1); והמלחמה (1); המלחמות (1),מאז מלחמה; מלחמה ה-7 באוקטובר; מלחמה השחרור; מלחמה התקומה; מלחמה חרבות ברזל; מלחמה עזה 2023; מלחמה ששת; פשע מלחמה,עימות צבאי מתמשך נגד יריב סביב מטרה אסטרטגית אחת או יותר
אדם,129,מילה,אדם (86); אנשים (22); האנשים (8); לאנשים (4); האדם (4); ואנשים (2); לאדם (2); שאדם (1),,
זכות,112,מילה,זכויות (75); בזכויות (10); זכות (8); הזכות (4); כזכות (4); ובזכויות (3); וזכויות (3); לזכויות (2); והזכויות (1); הזכויות (1); מזכות (1),זכות אדם,
מדינה,102,מילה,המדינה (70); מדינה (17); למדינה (6); במדינה (4); שמדינה (2); והמדינה (1); ומדינה (1); ממדינה (1),ומבקר מדינה; מוסד מדינה; מקום מדינה; שהמדינה,
ממשלה,101,מילה,ממשלות (62); ממשלה (19); הממשלה (16); בממשלה (2); לממשלה (1); וממשלה (1),,
שטח,99,מונח_ידוע,בשטח (22); בשטחים (15); לשטח (13); השטחים (12); שטח (12); השטח (6); לשטחים (5); שטחים (3); משטח (3); שטחה (2); והשטחים (1); ושטחים (1); מהשטח (1); בשטחה (1); לשטחה (1); כשטח (1),,המרחב שבין הקו הירוק לנהר הירדן
תקשורת,91,מילה,תקשורת (64); ותקשורת (15); בתקשורת (4); התקשורת (4); ובתקשורת (3); והתקשורת (1),תקשורת בינלאומית; תקשורת ישראלית,
עזה,86,מילה,בעזה (36); עזה (35); לעזה (10); מעזה (2); ועזה (2); ובעזה (1),,
גבול,78,מילה,גבול (21); גבולות (19); הגבול (13); כגבול (8); בגבול (4); לגבול (4); לגבולות (3); וגבולות (2); ובגבולות (1); בגבולות (1); שגבולות (1); וכגבול (1),גבול אושוויץ,
מדיניות,75,מילה,מדיניות (51); המדיניות (12); במדיניות (6); ומדיניות (4); כמדיניות (1); ממדיניות (1),ומסמכי מדיניות; דיני,
אזרח,73,מילה,אזרחים (39); באזרחים (17); לאזרחים (6); אזרח (5); האזרחים (3); האזרח (2); ובאזרחים (1),אזרחי ישראל; הרג אזרחים; חברה אזרחית; פגיעה אזרח; פלסטיני אזרחי ישראל,
ביטחון,73,מילה,הביטחון (38); ביטחון (24); בביטחון (4); והביטחון (3); וביטחון (2); לביטחון (2),הצבא ומערכת ביטחון; ודוברי הצבא ומערכת ביטחון; ומערכת ביטחון; מערכת ביטחון,
אקדמי,66,מילה,אקדמי (66),אקדמי ומשפטי; ושיח אקדמי,
אלימה,65,מילה,אלימות (44); האלימות (9); אלימה (5); ואלימות (3); באלימות (2); ובאלימות (1); לאלימות (1),,
זכות אדם,62,ביטוי,זכויות אדם (62),זכות,
מחאות,62,מונח_ידוע,מחאה (18); המחאה (16); מחאות (11); שהמחאה (3); ומחאות (3); במחאה (3); ובמחאות (2); והמחאות (1); והמחאה (1); במחאות (1); המחאות (1); למחאה (1); כמחאה (1),,יציאה המונית של אנשים למרחב הציבורי כדי למחות או להביע עמדה
